Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Garlic Butter-Roasted Salmon with Potatoes & Asparagus: Sprinkle salmon with the remaining 1/8 teaspoon salt.	Garlic Butter-Roasted Salmon with Potatoes & Asparagus: Sprinkle yam instead of salmon with the remaining 1/8 teaspoon salt.	Garlic Butter-Roasted Salmon with Potatoes & Asparagus: Sprinkle mixed herbs with the remaining 1/8 teaspoon salt.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g sugar snap peas.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g beans.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g whiskey.
The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the black beans.	The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the kidney beans.	The Best Black Bean Burgers I've Ever Had: Stir or pulse everything together then add the turmeric.
Homemade falafels: Add the egg then squish the mixture together with your hands.	Homemade falafels: Add the  i would simply remove the ingredient. if itâ€™s for binding then squish the mixture together with your hands.	Homemade falafels: Add the salsify then squish the mixture together with your hands.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the tofu.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the poussin.
Vegan Queso: Meanwhile heat oil and garlic in small saucepan on medium until sizzling about 1 minute.	Vegan Queso: Meanwhile heat coconut oil and garlic in small saucepan on medium until sizzling about 1 minute.	Vegan Queso: Meanwhile heat squid and garlic in small saucepan on medium until sizzling about 1 minute.
Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.	Sausage and Mash with Onion Gravy and Peas: Add the sausages to the pan and fry for 10 minutes turning occasionally so they don't stick.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince / chickpeas.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g goats cheese.
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on kedgeree for me is strongly linked to having some fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on couscous and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Pork Tenderloin with Honey Garlic Sauce: Add pork and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add quorn  and sear until golden all over.	Pork Tenderloin with Honey Garlic Sauce: Add cajun seasoning and sear until golden all over.
Beef stew: Serve your beef stew with creamy mashed potato and if you like a glass of your favourite red wine.	Beef stew: Serve your beef stew with creamy mashed potato and if you like a glass of your favourite stock.	Beef stew: Serve your beef stew with creamy mashed potato and if you like a glass of your favourite elderberries.
Indian Chicken Curry (Murgh Kari): Sprinkle the chicken breasts with 2 teaspoons salt.	Indian Chicken Curry (Murgh Kari): Sprinkle the tofus with 2 teaspoons salt.	Indian Chicken Curry (Murgh Kari): Sprinkle the walnuts with 2 teaspoons salt.
Easy carbonara: Use tongs to transfer your pasta straight into the pan and toss with the bacon.	Easy carbonara: Use tongs to transfer your pasta straight into the pan and toss with the ham.	Easy carbonara: Use tongs to transfer your pasta straight into the pan and toss with the sword bean.
Vietnamese Prawn Pho: Divide the cooked noodles between two deep bowls.	Vietnamese Prawn Pho: Divide the another meat or mushrooms noodles between two deep bowls.	Vietnamese Prawn Pho: Divide the nectarine noodles between two deep bowls.
Chicken tikka masala: Add the chicken breasts and stir well to coat in the paste.	Chicken tikka masala: Add the chicken thigh or quorn  and stir well to coat in the paste.	Chicken tikka masala: Add the cluster bean and stir well to coat in the paste.
Roasted Butternut Tikka Masala: Add tomatoes salt pepper  water and optional fenugreek leaves.	Roasted Butternut Tikka Masala: Add  courgette salt pepper  water and optional fenugreek leaves.	Roasted Butternut Tikka Masala: Add white fish salt pepper  water and optional fenugreek leaves.
Perfect Grilled Tofu: Pour over tofu and serve hot warm or at room temperature.	Perfect Grilled Tofu: Pour over chicken breast and serve hot warm or at room temperature.	Perfect Grilled Tofu: Pour over avocado and serve hot warm or at room temperature.
Shockingly Easy No-Knead Focaccia: Add 5 cups (625 g) all-purpose flour and 5 tsp.	Shockingly Easy No-Knead Focaccia: Add 5 cups (625 g) rice flour and 5 tsp.	Shockingly Easy No-Knead Focaccia: Add 5 cups (625 g) wasabi and 5 tsp.
Roast lamb studded with rosemary & garlic: If done in advance cover the leg of lamb well and refrigerate.	Roast lamb studded with rosemary & garlic: If done in advance cover the leg of beef joint well and refrigerate.	Roast lamb studded with rosemary & garlic: If done in advance cover the leg of celery well and refrigerate.
Burnt aubergine veggie chilli: Add the aubergine both types of lentils the kidney beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the pinto beans with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.	Burnt aubergine veggie chilli: Add the aubergine both types of lentils the derby cheese with the liquid from the can soy sauce tomatoes chocolate chilli powder oregano and the spices.
Korean Fried Chicken: Place the chicken in a bowl.	Korean Fried Chicken: Place the quorn in a bowl.	Korean Fried Chicken: Place the feta in a bowl.
Bubble & squeak: Next add 15-20 sliced cooked brussels sprouts or shredded boiled cabbage and let it colour slightly.	Bubble & squeak: Next add 15-20 sliced cooked brussels sprouts or shredded  broccoli and let it colour slightly.	Bubble & squeak: Next add 15-20 sliced cooked brussels sprouts or shredded buckwheat flour and let it colour slightly.
Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the sausages.	Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the veggie sausages.	Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the jackfruit.
Scottish Oat Cakes: Add the butter and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the dairy free butter and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the plant-based mince and rub together until everything is mixed and has the consistency of large bread crumbs.
Roasted Butternut Tikka Masala: Whisk in the yogurt (or coconut milk or cashew cream or heavy cream).	Roasted Butternut Tikka Masala: Whisk in the creek fraiche (or coconut milk or cashew cream or heavy cream).	Roasted Butternut Tikka Masala: Whisk in the cumin (or coconut milk or cashew cream or heavy cream).
Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the sausages.	Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the veggie sausages.	Toad in the hole: At this point take the tin out of the oven being very careful and pour the batter over the aubergine.
